"","L22.1","L22.2","L22.3","R22.1","R22.2","R22.3","L27.1","L27.2","L27.3","R27.1","R27.2","R27.3","L32.1","L32.2","L32.3","R32.1","R32.2","R32.3"
"2788",6.34852717330111,6.42516163762274,6.00092536904726,9.34927485108177,10.5137973136652,10.3165297940685,5.85953126625328,6.13181746461039,6.53872082786133,12.6063643311387,12.642673660652,12.4722855384715,6.25589462556707,5.85107461237056,5.9747319736385,8.56798524483678,9.4506196100025,9.43864493600884
"2789",5.54277584789834,5.93222155570964,5.49434479873798,5.37597799292771,5.19090555761643,5.42318103920438,5.37854907766679,5.48240126972394,5.41861137038994,5.43854030183506,5.77505760783923,5.87836733094808,5.82702707545201,5.88002180114868,5.5879627596844,5.42352791528542,5.71725710078029,5.55786345463104
"2790",3.0132974418654,2.3731394174243,2.77454478936858,3.0617153995409,3.14002449315148,2.81039844436653,2.45907689772186,2.61662810175046,2.84318210003786,2.81986137264392,2.73176145304611,3.26087959974994,2.34929663337283,2.37218571889693,2.44037855265867,2.75332524913267,2.64841751250535,2.62809737540178
"2791",7.66696669115176,7.78730927247989,7.96461087824897,7.72552039035204,7.70992134333618,7.72033658647555,7.86017738183349,7.9958656158685,7.69862608556618,7.66438858457441,7.66246693583809,7.87504867870094,7.74279383595937,7.72447649252073,7.66699813797489,7.78285489311504,7.68797864551543,7.82936781485013
"2792",4.60749602887423,4.42513287087979,4.48448192666224,3.6089585119186,4.0593615607913,4.64725522262555,3.70081650576947,3.50085220762557,3.63249005040885,3.84878565555733,4.10428560174889,4.33428463490957,3.58645534516431,3.51316129700787,3.40386013193877,3.52469382325405,4.11231541759404,3.66751002892957
"2793",5.81245807005981,5.04704361305784,5.34369857685834,5.39010790207639,5.1381912416077,5.61252197801593,4.93019128055806,4.75771516190264,4.52654996051012,5.22098647206116,5.46878149367107,5.33850553271787,4.69215359018915,4.7755654770666,4.49032497280506,4.95369971930147,5.04301121736488,4.86105691247671
"2794",7.4259004636587,7.2620648584651,7.29512996154181,6.54259727076771,6.54991822589841,6.75018207422769,7.25261369642869,7.41286761857577,7.4716160006922,6.92480275357837,7.1004109460346,7.16132970070219,7.74332629741437,7.44610085477102,7.44098767194575,7.21013516938453,7.2012796310555,7.13137231623804
"2795",9.45887049886394,9.1836868609848,8.7515850734469,9.16436768880436,8.92892124782253,9.28821199304462,8.54114338404671,8.69203806231301,8.27018155798043,9.41611071960361,9.31344629345536,9.3534142672695,9.33893478229884,9.17008008621126,8.88900750568068,8.91556649898394,9.03128504366575,9.15327413340232
"2796",5.58242033259228,5.54501514249762,5.62899822304693,5.84279185540664,5.91544740895433,5.64407530419492,6.56185770662134,6.72738879571259,6.4583105490445,6.3620322295189,6.44175363654754,6.25295657836348,6.17741070270004,6.48492186413864,6.5799514429147,7.02026591457652,6.90159977029067,6.93256663075617
"2797",0.944506620590279,0.819321596086852,1.20362203525678,0.771909570971517,0.736899091284986,0.558645849165778,0.784818081355196,0.844031420064599,1.21240120609582,1.44466473909949,0.536660028483564,1.04619092978255,1.19491835867795,0.773754633299774,1.26697096978067,0.97511543500903,1.17799727692421,0.860066381611603
